Test Case ID	Function	Group Tests	Scenario Outline	"Test Case
Summary"	Pre-conditions	Test Data	Test Steps	"Expected
result"	Environment	Priority	Regression	Automation	"Manual Test Results
Round 1"	Manual Test Results Round 2	Automation Test Results	"Actual
result"	BugID	Notes
TD_P1_011_TC_011	Cấu phần 1: Kiểm thử Phương thức & Header	"Method &
Header"	Header 'X-App-Code' chứa giá trị không hợp lệ	"Kiểm tra hệ thống trả
về lỗi Forbidden (403) khi header X-App-Code không nằm trong whitelist"	"1.
Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken,
requestID, X-App-Code\n6. [ASSUMPTION: X-App-Code được check whitelist tại lớp
Gateway/Controller]"	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078, ""productCode"": ""productCode""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""VALID_TOKEN_123"", requestID=""REQ_001"",
X-App-Code=""HACKER_APP"".\n3. Gọi API product_list với Method POST.\n4. Kiểm
tra giá trị trả về:\n- HTTP Status: 403\n- $.success = false"	"4.\nHTTP
Status: 403\nResponse Body:\n{\n ""code"": ""403"",\n ""message"": ""Forbidden:
Invalid App Code"",\n ""success"":
false\n}"	SIT	Medium	No	Yes
TD_P2_002_TC_001	"Cấu phần 2: Schema
Validation"	Schema Validation	Happy Path Full Flow (Valid Schema)	"Kiểm tra
gọi API thành công khi Request Body chứa đầy đủ các trường hợp lệ (requestCif
đúng 12 chữ số, productCode hợp lệ)"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3.
URL: http:[REDACTED_SECRET]\n4.
Endpoint: /v1/product/list\n5. Header: Content-Type=application/json,
authToken=Valid, requestID=Valid, X-App-Code=Valid\n6. Pre-Data: Khách hàng có
CIF 6856078 tồn tại và có sản phẩm CCTG tương ứng trong DB"	"1. File:
product_list.json\n2. Body: {""requestCif"": 6856078, ""productCode"":
""CCTG01""}"	"1. Thực hiện kết nối tới Database [PENDING_DOC].\n2. Thiết lập
URL: http:[REDACTED_SECRET],
Endpoint: /v1/product/list.\n3. Thiết lập Header: Content-Type=application/json,
authToken=""TOKEN_123"", requestID=""REQ_001"", X-App-Code=""WEB_APP"".\n4.
Thiết lập dữ liệu Request Body từ file product_list.json.\n5. Gọi API
product_list với Method POST và giữ nguyên data từ file.\n6. Kiểm tra giá trị
trả về của các trường trong Response Body:\n- HTTP Status: 200\n- $.code =
""0""\n- $.message = ""SUCCESS""\n- $.success = true\n- $.data[0].prodCode =
""CCTG01""\n7. Truy vấn thông tin tại bảng CCTG_PRODUCTS với điều kiện cif =
'6856078'.\n8. Verify thông tin dữ liệu trong Database:\n- Table:
CCTG_PRODUCTS\n- PRODUCT_CODE = $.data[0].prodCode"	"6.\nHTTP
Status: 200\nResponse Body:\n{\n ""code"": ""0"",\n ""message"": ""SUCCESS"",\n
""errors"": null,\n ""traceId"":
""[REDACTED_SECRET]"",\n ""responseTime"":
""2025-01-02T11:09:03.109+07:00"",\n ""data"": [\n {\n ""term"": ""12M"",\n
""prodCode"": ""CCTG01"",\n ""curCode"": ""VND"",\n ""minCrd"": ""1000000"",\n
""maxCrd"": ""500000000"",\n ""frequencies"": ""Monthly"",\n ""pmo"":
""Roll"",\n ""depositAmount"": ""10000000"",\n ""interestCode"": ""INT01"",\n
""interestRate"": ""6.5""\n }\n ],\n ""success"": true\n}\n\n8.\nTable:
CCTG_PRODUCTS\n- Record tồn tại khớp với dữ liệu Response.\n- Column
PRODUCT_CODE = ""CCTG01"""	SIT	High	Yes	Yes																		
TD_P2_002_TC_002	Cấu phần 2: Schema Validation	Schema Validation	"Field
Missing Validation"	"Kiểm tra hệ thống trả về lỗi 400 khi Request Body thiếu
trường bắt buộc 'requestCif' (Missing key)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list\n4. Header: Content-Type=application/json, authToken=Valid"	"1.
File: product_list.json\n2. Body: {""productCode"": ""CCTG01""}"	"1. Thiết lập
URL: http:[REDACTED_SECRET],
Endpoint: /v1/product/list.\n2. Thiết lập Header: Content-Type=application/json,
authToken=""TOKEN_123"".\n3. Thiết lập dữ liệu Request Body từ file
product_list.json.\n4. Gọi API product_list với Method POST và override
field:\n- requestCif = null (Mô tả lý do: Missing key)\n5. Kiểm tra giá trị trả
về của các trường trong Response Body:\n- HTTP Status: 400\n- $.success =
false\n- $.message: ""requestCif is required"""	"5.\nHTTP Status: 400\nResponse
Body:\n{\n ""code"": ""400"",\n ""message"": ""requestCif is required"",\n
""errors"": [],\n ""success"":
false\n}"	SIT	Medium	No	Yes
 TD_P2_003_TC_003	"Cấu
phần 2: Schema Validation"	Schema Validation	Field Empty Validation	"Kiểm
tra hệ thống trả về lỗi 400 khi trường 'requestCif' truyền giá trị rỗng (Empty
value)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list"	"1. File: product_list.json\n2. Body: {""requestCif"": """",
""productCode"": ""CCTG01""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Thiết lập Header: Content-Type=application/json.\n3. Gọi
API product_list với Method POST và override field:\n- requestCif = """" (Mô tả
lý do: Empty value)\n4. Kiểm tra giá trị trả về của các trường trong Response
Body:\n- HTTP Status: 400\n- $.success = false"	"4.\nHTTP Status: 400\nResponse
Body:\n{\n ""code"": ""400"",\n ""message"": ""requestCif must not be empty"",\n
""success"": false\n}"	SIT	Medium	No	Yes																																																																								
TD_P2_004_TC_004	Cấu phần 2: Schema Validation	Schema Validation	"Field
Type Validation"	"Kiểm tra hệ thống trả về lỗi 400 khi trường 'requestCif' sai
kiểu dữ liệu (truyền String thay vì Number)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list"	"1. File: product_list.json\n2. Body: {""requestCif"":
""CIF123456789"", ""productCode"": ""CCTG01""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Gọi API product_list với Method POST và override field:\n-
requestCif = ""CIF123456789"" (Mô tả lý do: Invalid type String)\n3. Kiểm tra
giá trị trả về của các trường trong Response Body:\n- HTTP Status: 400\n-
$.success = false\n- $.message: ""requestCif must be a number"""	"3.\nHTTP
Status: 400\nResponse Body:\n{\n ""code"": ""400"",\n ""message"": ""requestCif
must be a number"",\n ""success"":
false\n}"	SIT	Medium	No	Yes																																																																								
 TD_P2_005_TC_005	"Cấu
phần 2: Schema Validation"	Schema Validation	"Field Max Length
Validation"	"Kiểm tra hệ thống trả về lỗi 400 khi trường 'requestCif' vượt quá
độ dài tối đa (13 ký tự)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list"	"1. File: product_list.json\n2. Body:
{""requestCif"": 1234567890123, ""productCode"": ""CCTG01""}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Gọi API product_list với Method POST và override field:\n-
requestCif = 1234567890123 (Mô tả lý do: Length 13 characters, exceed
max 12)\n3. Kiểm tra giá trị trả về của các trường trong Response Body:\n- HTTP
Status: 400\n- $.success = false\n- $.message: ""requestCif length must
be 12"""	"3.\nHTTP Status: 400\nResponse Body:\n{\n ""code"": ""400"",\n
""message"": ""requestCif length must be 12"",\n ""success"":
false\n}"	SIT	Medium	No	Yes																																																																								
 TD_P2_006_TC_006	"Cấu
phần 2: Schema Validation"	Schema Validation	"Field Missing
Validation"	"Kiểm tra hệ thống trả về lỗi 400 khi Request Body thiếu trường
bắt buộc 'productCode' (Missing key)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list"	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Gọi API product_list với Method POST và override field:\n-
productCode = null (Mô tả lý do: Missing key)\n3. Kiểm tra giá trị trả về của
các trường trong Response Body:\n- HTTP Status: 400\n- $.success =
false"	"3.\nHTTP Status: 400\nResponse Body:\n{\n ""code"": ""400"",\n
""message"": ""productCode is required"",\n ""success"":
false\n}"	SIT	Medium	No	Yes																																																																								
 TD_P2_007_TC_007	"Cấu
phần 2: Schema Validation"	Schema Validation	Field Empty Validation	"Kiểm
tra hệ thống trả về lỗi 400 khi trường 'productCode' truyền giá trị rỗng (Empty
value)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list"	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078, ""productCode"": """"}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Gọi API product_list với Method POST và override field:\n-
productCode = """" (Mô tả lý do: Empty value)\n3. Kiểm tra giá trị trả về của
các trường trong Response Body:\n- HTTP Status: 400\n- $.success =
false"	"3.\nHTTP Status: 400\nResponse Body:\n{\n ""code"": ""400"",\n
""message"": ""productCode must not be empty"",\n ""success"":
false\n}"	SIT	Medium	No	Yes
 TD_P2_008_TC_008	"Cấu
phần 2: Schema Validation"	Schema Validation	Field Type Validation	"Kiểm
tra hệ thống trả về lỗi 400 khi trường 'productCode' sai kiểu dữ liệu (truyền
Number thay vì String)"	"1. Env: SIT\n2. URL:
http:[REDACTED_SECRET]\n3. Endpoint:
/v1/product/list"	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078, ""productCode"": 99999}"	"1. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n2. Gọi API product_list với Method POST và override field:\n-
productCode = 99999 (Mô tả lý do: Invalid type Number)\n3. Kiểm tra giá trị trả
về của các trường trong Response Body:\n- HTTP Status: 400\n- $.success =
false"	"3.\nHTTP Status: 400\nResponse Body:\n{\n ""code"": ""400"",\n
""message"": ""productCode must be a string"",\n ""success"":
false\n}"	SIT	Medium	No	Yes
 TD_P3_002_TC_001	"Value, Business Logic, Cross
Logic"	Value, Business Logic, Cross Logic	"Happy Path (Dữ liệu và Trạng thái
hợp lệ)"	"Kiểm tra lấy thông tin sản phẩm CCTG thành công với requestCif và
productCode hợp lệ, đang hoạt động"	"1. Env: SIT\n2. DB: [PENDING_DOC]\n3. URL:
http:[REDACTED_SECRET]\n4. Endpoint:
/v1/product/list\n5. Header: Content-Type=application/json, authToken=Valid\n6.
Pre-Data: Khách hàng 6856078 tồn tại (ACTIVE). Sản phẩm 'CCTG_VND_12M' có hiệu
lực."	"1. File: product_list.json\n2. Body: {""requestCif"": 6856078,
""productCode"": ""CCTG_VND_12M""}"	"1. Thực hiện kết nối tới Database
[PENDING_DOC].\n2. Thiết lập URL:
http:[REDACTED_SECRET], Endpoint:
/v1/product/list.\n3. Thiết lập Header: Content-Type=application/json,
authToken=""TOKEN_VALID"".\n4. Thiết lập dữ liệu Request Body từ file
product_list.json.\n5. Gọi API product_list với Method POST và giữ nguyên data
từ file.\n6. Kiểm tra giá trị trả về của các trường trong Response Body:\n-
HTTP Status: 200\n- $.code = ""0""\n- $.message = ""SUCCESS""\n- $.success =
true\n- $.data: Chứa đầy đủ thông tin kỳ hạn, lãi suất, số tiền gửi tối
thiểu/tối đa.\n7. Truy vấn thông tin sản phẩm tại bảng CCTG_PRODUCT_MASTER
và INTEREST_RATE_CONFIG.\n8. Verify thông tin dữ liệu trong Database:\n- Table:
CCTG_PRODUCT_MASTER\n- Column PROD_CODE = $.data[0].prodCode\n- Table:
INTEREST_RATE_CONFIG\n- Column RATE = $.data[0].interestRate"	"6.\nHTTP
Status: 200\nResponse Body:\n{\n ""code"": ""0"",\n ""message"": ""SUCCESS"",\n
""errors"": null,\n ""traceId"":
""[REDACTED_SECRET]"",\n ""responseTime"":
""2025-01-02T11:09:03.109+07:00"",\n ""data"": [\n {\n ""term"": ""12M"",\n
""prodCode"": ""CCTG_VND_12M"",\n ""curCode"": ""VND"",\n ""minCrd"":
""1000000"",\n ""maxCrd"": ""500000000"",\n ""frequencies"": ""Monthly"",\n
""pmo"": ""Roll"",\n ""depositAmount"": ""10000000"",\n ""interestCode"":
""INT_12M"",\n ""interestRate"": ""6.5""\n }\n ],\n ""success"":
true\n}\n\n8.\nTable: CCTG_PRODUCT_MASTER\n- Record tồn tại khớp với dữ liệu
Response.\n- Column PROD_CODE = ""CCTG_VND_12M""\n- Column CUR_CODE =
""VND"""	SIT	High	Yes	Yes																																																																																																																														
 TD_P3_002_TC_002	"Value,
Business Logic, Cross Logic"	Value, Business Logic, Cross Logic	"requestCif
không tồn tại trên hệ thống core"	"Kiểm tra hệ thống trả về mã lỗi 106 khi
truyền requestCif không tồn tại trong hệ thống Core Banking"	"1. Env: SIT\n2.
URL: http:[REDACTED_SECRET]\n3.
Pre-Data: CIF 999999999999 không tồn tại trong DB ngân hàng."	"1. File:
product_list.json\n2. Body: {""requestCif"": 999999999999, ""productCode"":
""CCTG_VND_12M""}"	"1. Thiết lập URL, Endpoint, Header.\n2. Thiết lập dữ liệu
Request Body từ file.\n3. Gọi API product_list với Method POST và override
field:\n- requestCif = 999999999999 (Fake CIF)\n4. Kiểm tra giá trị trả về của
các trường trong Response Body:\n- HTTP Status: 404\n- $.code = ""106""\n-
$.message = ""Không tìm thấy sản phẩm phù hợp""\n- $.success = false"	"4.\nHTTP
Status: 404\nResponse Body:\n{\n ""code"": ""106"",\n ""message"": ""Không tìm
thấy sản phẩm phù hợp"",\n ""errors"": [],\n ""success"":
false\n}"	SIT	High	Yes	Yes																																																																																																																														
 TD_P3_003_TC_003	"Value,
Business Logic, Cross Logic"	Value, Business Logic, Cross Logic	"requestCif
thuộc tài khoản đang bị khóa"	"Kiểm tra hệ thống từ chối yêu cầu khi khách hàng
(requestCif) đang ở trạng thái INACTIVE"	"1. Env: SIT\n2. Pre-Data: Khách
hàng 6856078 có trạng thái 'INACTIVE' trong DB Core."	"1. File:
product_list.json\n2. Body: {""requestCif"": 6856078, ""productCode"":
""CCTG_VND_12M""}"	"1. Thiết lập URL, Endpoint, Header.\n2. Gọi API product_list
với Method POST và override field:\n- requestCif = 6856078 (Trạng thái
Inactive)\n3. Kiểm tra giá trị trả về:\n- HTTP Status: 403\n- $.success =
false"	"3.\nHTTP Status: 403\nResponse Body:\n{\n ""code"": ""403"",\n
""message"": ""Customer is inactive"",\n ""success"":
false\n}"	SIT	Medium	No	Yes																																																																																																																														
 TD_P3_004_TC_004	"Value,
Business Logic, Cross Logic"	Value, Business Logic, Cross Logic	"productCode
không tồn tại"	"Kiểm tra hệ thống trả lỗi 106 khi truyền mã sản phẩm productCode
không có trong danh mục"	"1. Env: SIT\n2. Pre-Data: Mã 'FAKE_PROD_99' không tồn
tại trong DB sản phẩm."	"1. File: product_list.json\n2. Body:
{""requestCif"": 6856078, ""productCode"": ""FAKE_PROD_99""}"	"1. Thiết lập URL,
Endpoint, Header.\n2. Gọi API product_list với Method POST và override field:\n-
productCode = ""FAKE_PROD_99""\n3. Kiểm tra giá trị trả về:\n- HTTP
Status: 404\n- $.code = ""106""\n- $.message = ""Không tìm thấy sản phẩm phù
hợp"""	"3.\nHTTP Status: 404\nResponse Body:\n{\n ""code"": ""106"",\n
""message"": ""Không tìm thấy sản phẩm phù hợp"",\n ""success"":
false\n}"	SIT	Medium	Yes	Yes																																																																																																																														
